Period,Value,Measure Type,Unit
day/2017-02-11,961348.047,actual-eligible-demand,mwh
day/2017-02-12,936992.553,actual-eligible-demand,mwh
day/2017-02-13,1000013.491,actual-eligible-demand,mwh
day/2017-02-14,997522.703,actual-eligible-demand,mwh
day/2017-02-15,967855.043,actual-eligible-demand,mwh
day/2017-02-16,953759.561,actual-eligible-demand,mwh
day/2017-02-17,924393.93,actual-eligible-demand,mwh
day/2017-02-18,845068.682,actual-eligible-demand,mwh
day/2017-02-19,825960.016,actual-eligible-demand,mwh
day/2017-02-20,911971.951,actual-eligible-demand,mwh
day/2017-02-21,924004.494,actual-eligible-demand,mwh
day/2017-02-22,925848.041,actual-eligible-demand,mwh
day/2017-02-23,943804.296,actual-eligible-demand,mwh
day/2017-02-24,927940.681,actual-eligible-demand,mwh
day/2017-02-25,863854.858,actual-eligible-demand,mwh
day/2017-02-26,831260.872,actual-eligible-demand,mwh
day/2017-02-27,950277.816,actual-eligible-demand,mwh
day/2017-02-28,969531.399,actual-eligible-demand,mwh
day/2017-03-01,958807.705,actual-eligible-demand,mwh
day/2017-03-02,951715.286,actual-eligible-demand,mwh
day/2017-03-03,951235.769,actual-eligible-demand,mwh
day/2017-03-04,838602.074,actual-eligible-demand,mwh
day/2017-03-05,837835.98,actual-eligible-demand,mwh
day/2017-03-06,927716.08,actual-eligible-demand,mwh
day/2017-03-07,930586.74,actual-eligible-demand,mwh
day/2017-03-08,924303.5,actual-eligible-demand,mwh
day/2017-03-09,889657.685,actual-eligible-demand,mwh
day/2017-03-10,896874.236,actual-eligible-demand,mwh
day/2017-03-11,800043.121,actual-eligible-demand,mwh
day/2017-03-12,783292.772,actual-eligible-demand,mwh
day/2017-03-13,875321.387,actual-eligible-demand,mwh
day/2017-03-14,887382.096,actual-eligible-demand,mwh
day/2017-03-15,866729.093,actual-eligible-demand,mwh
day/2017-03-16,889049.315,actual-eligible-demand,mwh
day/2017-03-17,893426.376,actual-eligible-demand,mwh
day/2017-03-18,800990.084,actual-eligible-demand,mwh
day/2017-03-19,774849.547,actual-eligible-demand,mwh
day/2017-03-20,883816.134,actual-eligible-demand,mwh
day/2017-03-21,895922.756,actual-eligible-demand,mwh
day/2017-03-22,933892.106,actual-eligible-demand,mwh
day/2017-03-23,914675.149,actual-eligible-demand,mwh
day/2017-03-24,879623.295,actual-eligible-demand,mwh
day/2017-03-25,771322.937,actual-eligible-demand,mwh
day/2017-03-26,710356.539,actual-eligible-demand,mwh
day/2017-03-27,853544.013,actual-eligible-demand,mwh
day/2017-03-28,866068.188,actual-eligible-demand,mwh
day/2017-03-29,867330.9,actual-eligible-demand,mwh
day/2017-03-30,830061.768,actual-eligible-demand,mwh
day/2017-03-31,815503.126,actual-eligible-demand,mwh
day/2017-04-01,747525.589,actual-eligible-demand,mwh
day/2017-04-02,720034.069,actual-eligible-demand,mwh
day/2017-04-03,822673.457,actual-eligible-demand,mwh
day/2017-04-04,841598.019,actual-eligible-demand,mwh
day/2017-04-05,837486.292,actual-eligible-demand,mwh
day/2017-04-06,830389.987,actual-eligible-demand,mwh
day/2017-04-07,811170.461,actual-eligible-demand,mwh
day/2017-04-08,714471.336,actual-eligible-demand,mwh
day/2017-04-09,691285.239,actual-eligible-demand,mwh
day/2017-04-10,800519.238,actual-eligible-demand,mwh
day/2017-04-11,818753.221,actual-eligible-demand,mwh
day/2017-04-12,829222.612,actual-eligible-demand,mwh
day/2017-04-13,817310.734,actual-eligible-demand,mwh
day/2017-04-14,752992.713,actual-eligible-demand,mwh
